Week ending,East Region,Midwest Region,Mountain Region,Pacific Region,South Central Region,Salt,NonSalt,Total Lower 48
11/11/2022,0.8%,0.7%,1.5%,0.0%,0.7%,1.5%,0.7%,0.4%
18/11/2022,0.8%,0.7%,1.4%,0.0%,0.6%,1.3%,0.7%,0.4%
25/11/2022,0.9%,0.7%,1.3%,0.0%,0.6%,1.3%,0.7%,0.4%
02/12/2022,0.9%,0.7%,1.1%,0.0%,0.6%,1.4%,0.7%,0.4%
09/12/2022,0.9%,0.7%,1.1%,0.0%,0.7%,1.4%,0.7%,0.4%
16/12/2022,0.9%,0.6%,1.0%,0.0%,0.7%,1.5%,0.7%,0.4%
23/12/2022,1.0%,0.7%,0.9%,0.0%,0.6%,1.3%,0.7%,0.4%
30/12/2022,1.0%,0.7%,0.9%,0.0%,0.6%,1.0%,0.7%,0.4%
06/01/2023,1.0%,0.7%,0.9%,0.0%,0.6%,1.1%,0.7%,0.4%
13/01/2023,1.1%,0.7%,0.9%,0.0%,0.6%,1.2%,0.7%,0.4%
20/01/2023,1.1%,0.7%,0.9%,0.0%,0.6%,1.2%,0.7%,0.4%
27/01/2023,1.2%,0.8%,0.9%,0.0%,0.6%,1.0%,0.7%,0.4%
03/02/2023,1.2%,0.8%,0.7%,0.0%,0.6%,0.9%,0.7%,0.4%
10/02/2023,1.2%,0.8%,0.7%,0.0%,0.5%,0.9%,0.7%,0.4%
17/02/2023,1.2%,0.8%,0.8%,0.0%,0.5%,0.9%,0.7%,0.4%
24/02/2023,1.2%,0.9%,0.7%,0.0%,0.5%,0.9%,0.6%,0.4%
03/03/2023,1.3%,0.9%,0.9%,0.0%,0.5%,0.9%,0.6%,0.4%
10/03/2023,1.3%,1.0%,1.1%,0.0%,0.5%,1.0%,0.6%,0.4%
17/03/2023,1.3%,1.0%,1.2%,0.0%,0.5%,1.1%,0.6%,0.4%
24/03/2023,1.4%,1.0%,1.2%,0.0%,0.5%,1.0%,0.6%,0.4%
31/03/2023,1.4%,1.0%,1.1%,0.0%,0.6%,1.1%,0.6%,0.5%
07/04/2023,1.4%,1.1%,1.1%,0.0%,0.6%,1.2%,0.6%,0.5%
14/04/2023,1.3%,1.1%,1.2%,0.0%,0.6%,1.1%,0.6%,0.4%
21/04/2023,1.3%,1.1%,1.1%,0.0%,0.6%,1.2%,0.6%,0.5%
28/04/2023,1.3%,1.1%,1.1%,0.0%,0.6%,1.2%,0.6%,0.5%
05/05/2023,1.3%,1.1%,1.0%,0.0%,0.6%,1.2%,0.6%,0.5%
12/05/2023,1.3%,1.1%,1.1%,0.0%,0.6%,1.2%,0.6%,0.5%
19/05/2023,1.3%,1.1%,1.2%,0.0%,0.6%,1.3%,0.6%,0.5%
26/05/2023,1.4%,1.0%,1.2%,0.0%,0.6%,1.3%,0.6%,0.5%
02/06/2023,1.3%,1.0%,1.3%,0.0%,0.6%,1.2%,0.6%,0.4%
09/06/2023,1.3%,1.0%,1.4%,0.0%,0.6%,1.2%,0.6%,0.4%
16/06/2023,1.4%,1.0%,1.4%,0.0%,0.6%,1.2%,0.6%,0.5%
23/06/2023,1.3%,1.0%,1.5%,0.0%,0.6%,1.2%,0.6%,0.5%
30/06/2023,1.3%,1.0%,1.5%,0.0%,0.5%,1.1%,0.6%,0.4%
07/07/2023,1.2%,1.0%,1.5%,0.0%,0.5%,1.1%,0.6%,0.4%
14/07/2023,1.2%,1.0%,1.5%,0.0%,0.5%,1.1%,0.6%,0.4%
21/07/2023,1.2%,1.0%,1.5%,0.0%,0.6%,1.2%,0.6%,0.4%
28/07/2023,1.1%,1.0%,1.5%,0.0%,0.6%,1.2%,0.6%,0.4%
04/08/2023,1.1%,1.0%,1.5%,0.0%,0.6%,1.3%,0.6%,0.4%
11/08/2023,1.0%,1.0%,1.5%,0.0%,0.6%,1.3%,0.6%,0.4%
18/08/2023,0.9%,1.0%,1.5%,0.0%,0.6%,1.3%,0.6%,0.4%
25/08/2023,0.9%,1.0%,1.5%,0.0%,0.6%,1.4%,0.6%,0.4%
01/09/2023,0.9%,0.9%,1.4%,0.0%,0.6%,1.5%,0.6%,0.4%
08/09/2023,0.9%,0.9%,1.4%,0.0%,0.6%,1.6%,0.7%,0.4%
15/09/2023,0.9%,0.9%,1.4%,0.0%,0.6%,1.5%,0.6%,0.4%
22/09/2023,0.9%,0.9%,1.4%,0.0%,0.6%,1.4%,0.6%,0.4%
29/09/2023,0.9%,0.9%,1.4%,0.0%,0.6%,1.4%,0.6%,0.4%
06/10/2023,0.9%,0.9%,1.4%,0.0%,0.6%,1.4%,0.6%,0.4%
13/10/2023,0.9%,0.9%,1.5%,0.0%,0.6%,1.3%,0.6%,0.4%
20/10/2023,0.9%,0.9%,1.4%,0.0%,0.6%,1.3%,0.6%,0.4%
27/10/2023,1.0%,0.8%,1.4%,0.0%,0.6%,1.3%,0.6%,0.4%
03/11/2023,1.0%,0.8%,1.4%,0.0%,0.6%,1.3%,0.6%,0.4%
10/11/2023,1.0%,0.8%,1.4%,0.0%,0.6%,1.4%,0.6%,0.4%
17/11/2023,1.0%,0.8%,1.3%,0.0%,0.6%,1.3%,0.6%,0.4%
24/11/2023,1.0%,0.8%,1.3%,0.0%,0.6%,1.4%,0.6%,0.4%
01/12/2023,1.0%,0.7%,1.2%,0.0%,0.6%,1.5%,0.6%,0.4%
08/12/2023,1.0%,0.7%,1.2%,0.0%,0.6%,1.4%,0.6%,0.4%
15/12/2023,1.0%,0.7%,1.2%,0.0%,0.6%,1.4%,0.6%,0.4%
22/12/2023,1.1%,0.7%,1.1%,0.0%,0.6%,1.4%,0.6%,0.4%
29/12/2023,1.0%,0.7%,1.1%,0.0%,0.6%,1.5%,0.6%,0.4%
05/01/2024,1.1%,0.7%,1.0%,0.0%,0.6%,1.4%,0.6%,0.4%
12/01/2024,1.1%,0.7%,1.0%,0.0%,0.6%,1.4%,0.6%,0.4%
19/01/2024,1.1%,0.7%,0.9%,0.0%,0.5%,0.9%,0.6%,0.4%
26/01/2024,1.1%,0.7%,0.9%,0.0%,0.5%,0.9%,0.6%,0.4%
02/02/2024,1.1%,0.7%,0.9%,0.0%,0.5%,0.8%,0.6%,0.4%
09/02/2024,1.2%,0.7%,0.9%,0.0%,0.5%,0.8%,0.6%,0.4%
16/02/2024,1.3%,0.7%,0.9%,0.0%,0.5%,0.8%,0.6%,0.4%
23/02/2024,1.3%,0.7%,0.8%,0.0%,0.5%,0.9%,0.6%,0.4%
01/03/2024,1.3%,0.7%,0.9%,0.0%,0.5%,1.1%,0.6%,0.4%
08/03/2024,1.3%,0.7%,1.0%,0.0%,0.5%,1.2%,0.6%,0.4%
15/03/2024,1.3%,0.6%,1.2%,0.0%,0.6%,1.3%,0.6%,0.4%
22/03/2024,1.3%,0.6%,1.2%,0.0%,0.6%,1.4%,0.6%,0.4%
